Year,State,State Abbr,District,Democratic Votes,Republican Votes,Total Votes,Voting Eligible Male,Voting Eligible Female,Voting Eligible Population,Total Population,Median Age,White,White (non Hispanic or Latino),Hispanic or Latino,Black,American Indian,Asian,Pacific,Multiracial,Male,Female,Not a citizen,Less than HS,HS grad,Some college,Bachelor's degree,Graduate degree,Total income,Income above 75k,Income below poverty,Median income,State FIPS,Income under 25k,Income 25k to 50k,Income 50k to 75k
2014,New Jersey,NJ,12,90430,54168,148366,326016,345064,671080,744081,39.0,432750,367197,116540,128923,1577,116241,149,16102,365538,378543,101433,57354,124533,108936,119647,97088,606320,120630,28071,35109,34,288297,118652,78741
2014,New Mexico,NM,1,105474,74558,180032,270803,288966,559769,694375,37.0,498702,284932,338982,19115,28163,15392,664,27072,340679,353696,50110,59681,111850,146927,80941,65453,560675,57725,80011,26288,35,312198,129128,61624
2014,New Mexico,NM,2,52499,95209,147777,270466,276965,547431,696389,35.9,567977,271083,365120,12192,39055,5278,233,16222,348743,347646,54349,90965,125080,137896,54183,35130,549016,37726,119251,20526,35,352322,112387,46581
2014,New Mexico,NM,3,113249,70775,184076,258079,272272,530351,689321,37.6,455197,268276,274087,11208,123132,7908,374,21803,340335,348986,30496,67339,121077,144427,66562,52502,544259,52314,69128,24675,35,319982,117856,54107
2014,New York,NY,1,78722,94035,172757,293256,309306,602562,722670,40.7,630799,556433,93667,35652,2071,26883,225,14098,358312,364358,42563,41133,147013,136083,90724,78300,590337,118969,36751,36841,36,272655,117867,80846
2014,New York,NY,2,41814,95177,139272,295046,319774,614820,723744,39.4,549896,464702,158622,71298,1267,22620,124,19511,351415,372329,63899,59428,160676,133283,81574,55353,587702,102252,24528,35290,36,275763,128823,80864
2014,New York,NY,3,90032,74269,164301,314579,346928,661507,720393,43.8,559063,515423,74673,21800,1215,96423,69,13137,350405,369988,52491,39486,103075,106041,135808,119894,592468,152642,24523,41962,36,263854,103047,72925
2014,New York,NY,4,89793,80127,169920,305085,339162,644247,720624,40.2,485365,425141,136685,104418,2075,44918,62,28232,349446,371178,68954,55191,122844,119844,106304,86384,588409,123725,23572,37158,36,274990,113272,76422
2014,New York,NY,5,75712,0,79582,349617,421388,771005,760308,36.7,138205,85375,149235,380667,3351,98888,483,35246,356855,403453,126649,98009,150418,135170,77692,40161,615512,58928,19897,27219,36,349788,138629,68167
2014,New York,NY,6,55368,0,55368,375575,422890,798465,721015,40.6,345144,266255,136254,26199,2182,276924,375,20083,346713,374302,154807,86533,132201,117541,119817,74468,608484,79769,34452,30211,36,332096,122677,73942
2014,New York,NY,7,56593,5713,63704,327102,351883,678985,740178,32.7,359441,209099,321292,79977,4072,135479,171,25848,367377,372801,155203,150938,113414,79920,87927,53482,591532,61055,85451,22973,36,368950,108541,52986
2014,New York,NY,8,77255,0,83928,314988,405014,720002,735611,35.6,218848,167076,129850,410189,2311,35166,205,16788,334910,400701,88985,91594,144335,116755,85771,51267,596770,59110,44656,25936,36,351277,123167,63216
2014,New York,NY,9,82659,0,92386,323535,416843,740378,734248,35.7,245814,224098,80330,383271,1673,47650,158,14606,335780,398468,120860,79246,138150,113222,98242,65584,593935,64205,37378,27863,36,333805,130649,65276
2014,New York,NY,10,89080,0,101676,335128,366123,701251,729578,35.5,517046,469694,90548,30517,2646,128204,43,19250,357295,372283,115930,66614,81889,68354,153885,150145,607375,165451,76566,42195,36,277752,95977,68195
2014,New York,NY,11,45244,58886,106817,330822,366241,697063,727304,39.0,530361,456449,115552,55938,1837,93058,177,14739,351091,376213,76366,72828,152315,117158,97444,61936,594007,93539,58499,31968,36,315359,111033,74076
2014,New York,NY,12,90603,22731,113334,332081,392992,725073,716393,36.0,534232,476182,96863,35372,1785,92131,599,19847,334254,382139,100617,40080,56194,74600,216349,177518,644835,219118,47588,55112,36,224721,107517,93479
2014,New York,NY,13,68396,0,78202,322565,387030,709595,747559,34.3,194040,98045,404840,231536,4320,33076,511,41737,354485,393074,149417,136952,117128,106091,85190,56391,616675,46411,44763,20108,36,403500,116276,50488
2014,New York,NY,14,50352,0,57087,355986,362083,718069,721129,35.5,339350,174130,344470,79824,3211,119616,302,22608,364286,356843,189915,126053,141044,108241,82292,43282,596242,49748,51242,25490,36,352718,132328,61448
2014,New York,NY,15,54906,0,56521,274555,340748,615303,733612,30.4,113037,17002,482996,247245,4370,13855,415,26988,342147,391465,157583,161784,118433,98022,36716,14611,557492,14412,41972,15396,36,422065,92876,28139
2014,New York,NY,16,99658,0,99658,306313,373394,679707,733388,39.1,354051,282914,174095,235984,1834,35630,162,23399,343505,389883,96244,71780,120498,114808,99396,88480,592994,102291,29225,33487,36,300641,118989,71073
2014,New York,NY,17,98150,75781,173931,302474,328379,630853,730820,38.9,513260,447843,153916,77908,3061,43003,54,19885,358617,372203,86513,60507,101841,104346,113589,102592,581750,129188,45946,36717,36,276958,105894,69710
2014,New York,NY,18,88993,85660,178947,287456,301079,588535,719388,39.2,560590,506901,112030,66923,2343,22674,70,21918,357053,362335,39958,49210,126152,132770,91764,70990,575552,106736,45769,33287,36,280037,115948,72831
2014,New York,NY,19,72470,131594,204064,296969,299190,596159,712982,43.6,639703,611001,47434,31317,1236,11002,68,18105,357639,355343,19353,56790,159409,149075,73482,60620,600634,65827,68251,27653,36,313895,143369,77543
2014,New York,NY,20,125111,79104,204215,288499,314776,603275,722569,38.9,590447,567642,41514,65444,1184,29950,179,22714,350927,371642,24899,40589,131917,140908,94223,79953,600306,80129,55021,31125,36,287846,146451,85880
2014,New York,NY,21,59063,96226,174527,294203,283613,577816,719085,39.9,664432,652860,21832,21599,6000,6554,531,13465,367606,351479,12449,58377,175928,148062,59391,47558,593138,45991,88252,25989,36,324655,149264,73228
2014,New York,NY,22,0,129851,129851,283269,297142,580411,713482,40.6,644387,631404,24128,27396,1862,17240,195,15350,352382,361100,16251,55078,164539,147879,64490,47617,590407,43566,86393,24928,36,330692,149305,66844
2014,New York,NY,23,70242,113130,183372,283372,293127,576499,715480,39.8,655120,638637,24674,20829,4344,16111,147,14222,355443,360037,15517,52632,164118,141628,59806,56262,593481,42563,94388,24189,36,337512,147308,66098
2014,New York,NY,24,80304,118474,198778,278169,299053,577222,716454,39.6,609929,594473,28257,59118,3946,17832,78,18219,350476,365978,19653,51728,145134,144924,78447,60694,587430,56463,68092,27419,36,307958,146428,76581
2014,New York,NY,25,96803,95932,192735,282141,313646,595787,721240,38.2,544468,513276,57013,112800,2630,25480,167,18932,347807,373433,25819,49684,119748,140205,96079,76274,592428,62802,52828,27299,36,308311,147443,73872
2014,New York,NY,26,113210,52909,166119,277289,313301,590590,716222,38.9,524011,506651,40138,129414,2814,24412,211,18752,341980,374242,28008,56065,139860,148742,77844,63547,594623,49259,60813,25093,36,327571,149378,68415
2014,New York,NY,27,58911,144675,203586,286696,293103,579799,718854,43.0,672479,661677,18736,17413,4932,7770,477,10583,357772,361082,9255,40878,163239,155950,80715,61089,594911,65295,54729,29869,36,292920,153447,83249
2014,North Carolina,NC,1,154333,55990,210323,261790,305617,567407,727784,37.0,285671,257232,57039,384944,5099,10059,240,17223,344288,383496,35037,100138,148549,138572,56930,32752,586091,25952,45266,19855,37,382571,133974,43594
2014,North Carolina,NC,2,85479,122128,207607,282993,301918,584911,762270,35.8,552029,500437,84860,123573,7459,26605,798,26644,374573,387697,42131,64625,129389,159935,91274,49469,593290,62017,68015,26924,37,323616,143437,64220
2014,North Carolina,NC,3,66182,139415,205597,302400,295050,597450,749638,34.6,558040,528581,53782,140163,3854,10087,929,18539,379875,369763,21760,60563,135689,173744,70009,34434,611373,43169,70670,24240,37,350360,155237,62607
2014,North Carolina,NC,4,169946,57416,227362,293856,326175,620031,760207,32.4,421896,367926,88236,242601,3198,40848,917,23517,365750,394457,67161,54437,91720,136287,115661,83365,614223,67874,59538,27068,37,334812,145202,66335
2014,North Carolina,NC,5,88973,139279,228252,283809,309410,593219,743061,40.1,602990,561914,65059,94477,2160,11220,107,11823,361192,381869,35049,78268,145995,147747,85747,45669,608390,45569,94403,23724,37,355320,150044,57457
2014,North Carolina,NC,6,103758,147312,251070,287987,314289,602276,749563,41.6,580527,555169,47979,115695,3881,15567,262,14501,363258,386305,30006,72360,146554,153089,97408,51019,617050,58158,68646,26462,37,337501,154954,66437
2014,North Carolina,NC,7,84054,134431,226504,285257,304507,589764,752216,40.4,557590,520641,71000,130244,13497,5166,639,15987,367912,384304,34665,83481,145153,169532,81358,37320,607088,47072,75591,23857,37,350928,147805,61283
2014,North Carolina,NC,8,65854,121568,187422,273357,292075,565432,737740,38.4,501662,460934,65639,138747,52985,8326,198,14427,362180,375560,33484,94065,159967,151169,57796,25178,586224,32016,72190,22278,37,361488,139802,52918
2014,North Carolina,NC,9,0,163080,173668,286039,317038,603077,769339,37.7,603755,563271,60176,99344,2785,30649,218,18020,372302,397037,41907,33348,90529,146741,166458,79045,603864,114352,39785,35851,37,274517,136496,78499
2014,North Carolina,NC,10,85292,133504,218796,280279,305639,585918,737538,41.0,606710,583855,42856,85384,2202,10787,99,15109,358313,379225,22883,82314,148128,163104,78307,39722,602525,40577,86179,23142,37,355964,151874,54110
2014,North Carolina,NC,11,85342,144682,230024,290627,309725,600352,737861,43.9,666415,642284,41484,23635,11209,8024,520,14189,362380,375481,21209,84291,158407,166390,75273,42410,616390,33796,109592,21838,37,375234,155318,52042
2014,North Carolina,NC,12,130096,42568,172664,280383,312453,592836,760454,31.8,281434,218423,108015,384086,3121,35791,855,18377,365464,394990,78839,89288,129663,141124,77871,32625,595703,30921,54541,21151,37,379924,138414,46444
2014,North Carolina,NC,13,114718,153991,268709,284030,306329,590359,762734,38.8,566182,533861,62472,130496,2348,18701,301,18183,372879,389855,36836,50224,114573,150636,130919,67240,602234,90901,43158,32200,37,286774,147768,76791
2014,North Dakota,ND,1,95678,138100,248670,280547,272917,553464,704925,35.9,628770,618458,18250,10781,36989,8124,312,14836,358862,346063,13071,39740,125620,167890,90032,35245,572261,62153,57352,29391,38,271047,164680,74381
2014,Ohio,OH,1,72604,124779,197383,269474,289582,559056,724254,36.6,523263,509711,20372,158398,1303,20172,320,15137,353181,371073,22506,52098,138927,131615,93418,54921,573965,67625,54135,26971,39,308983,130556,66801
2014,Ohio,OH,2,68453,132658,201111,269828,294492,564320,724395,39.4,634000,625032,12314,62532,1197,9125,193,14484,353256,371139,10200,60583,159725,130365,90225,55182,584175,62374,84638,26940,39,311948,139888,69965
2014,Ohio,OH,3,91769,51475,143261,276901,304283,581184,734710,32.1,423345,398960,44705,239134,1415,24208,213,29992,356136,378574,48024,64766,139682,136793,80399,39399,578935,37945,71420,24218,39,333231,148794,58965
2014,Ohio,OH,4,60165,125907,186072,273890,281085,554975,717325,40.0,649752,635335,23731,36875,1659,5253,130,17357,358033,359292,5454,54197,203345,147133,49835,29245,579257,37249,83141,24470,39,325233,151295,65480
2014,Ohio,OH,5,58507,134449,202300,273554,292217,565771,724014,39.5,669435,649975,33152,21240,1348,9327,286,13543,354220,369794,7843,39774,178910,146584,72243,45567,586471,51543,76804,26567,39,308399,154706,71823
2014,Ohio,OH,6,73561,111026,190652,277272,287903,565175,715394,42.6,682534,677610,7177,16244,947,2870,37,11178,355356,360038,3258,66446,223806,136667,48005,27271,590067,35251,108417,22045,39,356366,141046,57404
2014,Ohio,OH,7,0,143959,143959,268202,287765,555967,721392,40.6,669723,659785,14665,28281,1073,4469,82,14568,353568,367824,6359,63879,199540,133165,60277,31279,579643,41846,81868,24880,39,323521,149813,64463
2014,Ohio,OH,8,51534,126539,188330,269214,288750,557964,722987,38.5,645224,629912,22581,42981,1284,12436,322,14598,354291,368696,13568,54024,178559,135581,68658,37972,578090,52073,81097,26089,39,313883,145282,66852
2014,Ohio,OH,9,108870,51704,160715,272208,297624,569832,715074,38.2,544111,503332,71858,111974,2474,9371,298,29257,346920,368154,14404,67136,164957,148103,64553,34994,580475,37487,86065,22602,39,342394,141875,58719
2014,Ohio,OH,10,63249,130752,200606,271750,301748,573498,722301,39.1,558053,546853,17584,123516,1314,15337,286,19125,349072,373229,15220,52232,141481,160528,76089,55279,588813,57040,74125,25324,39,326611,140744,64418
2014,Ohio,OH,11,137105,35461,172566,258238,306299,564537,709140,38.2,285328,270090,26972,380059,1764,16222,109,19117,331361,377779,16994,71757,136524,139497,68104,54647,575847,43093,44479,21097,39,358678,122930,51146
2014,Ohio,OH,12,61360,150573,221081,280875,293798,574673,737223,38.2,655264,643823,16395,33063,897,24679,202,19323,363937,373286,17443,38159,137048,129948,118634,70631,588958,91623,64442,31686,39,283226,136176,77933
2014,Ohio,OH,13,120230,55233,175549,276131,301200,577331,715744,40.6,600502,586285,21136,82346,1277,9596,73,18105,347495,368249,12492,54299,196762,136726,68232,34114,594593,32673,90937,22788,39,349584,150984,61352
2014,Ohio,OH,14,70856,135736,214580,278746,299874,578620,719971,43.1,660322,646840,17982,29864,640,14074,72,12241,351875,368096,13443,43316,157012,139317,101943,61096,587703,77759,54666,30229,39,288813,144691,76440
2014,Ohio,OH,15,66125,128496,194621,288962,289871,578833,733979,37.6,670550,661160,13868,26313,1376,16598,196,15317,369344,364635,14686,48833,164592,137128,88701,53283,598269,62136,84628,27768,39,318692,142056,75385
2014,Ohio,OH,16,75199,132176,207375,280882,303951,584833,722477,42.6,677937,666860,15050,14673,1109,14988,74,10684,353532,368945,13344,38290,161162,146277,103147,56520,592398,71065,50919,30610,39,285657,153481,82195
2014,Oklahoma,OK,1,0,0,0,281569,305580,587149,765752,36.0,556838,507450,78448,67002,42653,17916,484,58360,373724,392028,37164,56191,138204,162021,98595,45279,601814,61373,63181,26874,40,320972,153645,65824
2014,Oklahoma,OK,2,38964,110925,158407,282727,291988,574715,749835,39.7,507244,491162,34581,26171,114629,4008,595,86519,372987,376848,10137,81546,185546,153562,54382,26792,601406,31479,88975,20801,40,382560,138409,48958
2014,Oklahoma,OK,3,36270,133335,169605,294227,292739,586966,761781,36.5,610111,575432,67538,27979,43905,10130,1492,43985,384221,377560,22707,65368,172032,150786,72694,33331,606661,47774,78988,24329,40,350102,147671,61114
2014,Oklahoma,OK,4,40998,117721,166268,293642,303625,597267,767647,35.0,591121,555260,60802,50916,39295,16319,1235,55245,382171,385476,17695,56665,162083,157923,75798,40191,612929,50851,73975,25645,40,340267,152444,69367
2014,Oklahoma,OK,5,57790,95632,159133,288281,310463,598744,773836,34.5,533808,458667,116547,104939,33617,23023,584,52001,378423,395413,56232,71432,131411,151387,95178,50626,606598,57151,80392,25181,40,341067,147210,61170
2014,Oregon,OR,1,160038,96245,279253,312319,330463,642782,787501,37.1,636507,575427,111019,12234,6980,54753,3007,32375,388592,398909,64851,50352,111707,171605,126849,73657,631259,92034,69250,30367,41,317096,145285,76844
2014,Oregon,OR,2,73785,202374,287425,303835,312264,616099,775034,41.7,698984,628085,100234,4599,14042,7602,1760,26577,385942,389092,31779,63853,152214,197886,78843,44693,631899,46199,115038,22301,41,378073,146291,61336
2014,Oregon,OR,3,211748,57424,292757,327641,342158,669799,787945,36.6,622539,571895,84870,41161,6846,52166,4719,34054,390710,397235,61228,56992,115544,180535,125453,75634,651584,72729,91829,26877,41,345101,157953,75801
2014,Oregon,OR,4,181624,116534,310179,309473,325321,634794,770520,41.2,693844,657176,54572,5787,10832,17096,1459,28435,380291,390229,24495,51033,144975,199462,81010,52396,647112,45451,130319,21541,41,393869,146903,60889
2014,Oregon,OR,5,150944,110332,281088,301130,319197,620327,779343,39.1,665794,595014,123034,6919,8455,20642,3568,32373,383518,395825,51135,59392,132683,184068,93643,52897,625937,63006,88467,26260,41,341326,147757,73848
2014,Pennsylvania,PA,1,131248,27193,158441,272457,307972,580429,705306,33.7,335247,284633,113507,252154,2261,49112,310,18865,338967,366339,49440,89540,159754,100955,65839,45889,566276,42133,60690,22352,42,345742,123019,55382
2014,Pennsylvania,PA,2,181141,25397,206538,264384,327498,591882,715511,33.2,225206,207839,42682,419932,2102,33801,383,18225,328035,387476,31859,70031,137003,103005,75296,73618,591841,56502,36986,21740,42,368936,112977,53426
2014,Pennsylvania,PA,3,73931,113859,187790,270928,287714,558642,701824,42.0,646214,637829,13935,32911,854,6369,136,11786,345048,356776,7561,49322,203369,117844,74322,39637,579132,45154,78319,23993,42,327476,144069,62433
2014,Pennsylvania,PA,4,50250,147090,197340,274617,291533,566150,711945,40.5,608110,585337,46205,53744,854,14237,149,18175,350294,361651,17336,56274,192275,118670,77607,44429,580308,59962,48492,28898,42,288022,155264,77060
2014,Pennsylvania,PA,5,65839,115018,180857,292329,286115,578444,706409,40.2,665168,656922,12792,16516,1317,11476,97,9395,358785,347624,13031,47298,211241,109718,63330,41177,595950,37235,95227,22544,42,352913,146418,59384
2014,Pennsylvania,PA,6,92901,119643,212544,275776,298801,574577,715481,40.6,628372,605593,38761,30807,627,29440,66,13185,349099,366382,22905,37870,141406,106605,123124,78723,580071,105735,37711,34979,42,260012,132995,81329
2014,Pennsylvania,PA,7,89256,145869,235125,278735,299052,577787,712481,41.4,629178,612325,22033,38159,537,29932,82,11111,348896,363585,20883,37018,141024,109649,117148,82827,580151,111935,32747,36406,42,260138,127918,80160
2014,Pennsylvania,PA,8,84767,137731,222498,283093,301988,585081,707804,42.6,630968,607372,31820,26216,846,31861,46,11535,347125,360679,21404,32926,155413,127034,110884,69672,581028,103190,32120,35126,42,259309,135943,82586
2014,Pennsylvania,PA,9,63223,110094,173317,273875,288127,562002,702362,42.3,663651,654454,13177,20545,1034,4284,302,10182,346333,356029,6108,61441,230686,111680,54952,29345,583161,34254,92263,23140,42,339134,148460,61313
2014,Pennsylvania,PA,10,44737,112851,180322,282759,288214,570973,705770,42.9,659517,640870,26521,23852,1293,5931,201,9975,353296,352474,9103,60728,211658,121449,61974,37154,586187,42114,78352,24132,42,333303,146193,64577
2014,Pennsylvania,PA,11,62228,122464,184692,280451,295549,576000,706538,42.1,634836,614665,36362,35449,1418,10701,164,12930,347901,358637,16271,54954,202351,125159,69940,41749,589021,49076,69362,26525,42,313152,155895,70898
2014,Pennsylvania,PA,12,87928,127993,215921,275704,296846,572550,705303,44.9,658687,653328,8617,21942,579,10907,150,10889,344464,360839,7075,40095,185223,128699,95901,60835,588430,68000,55785,28216,42,298021,147445,74964
2014,Pennsylvania,PA,13,123601,60549,184150,292259,323875,616134,719828,38.1,471907,434755,78174,133033,1753,62814,946,17929,347249,372579,54358,61548,157621,115810,96443,61774,583054,71396,44146,29272,42,298310,138195,75153
2014,Pennsylvania,PA,14,148351,0,148351,278845,313146,591991,705049,38.6,508811,500355,14139,150199,1190,20327,142,21216,336675,368374,20562,41593,167943,136004,85590,61908,600586,45075,64516,24179,42,336029,154461,65021
2014,Pennsylvania,PA,15,0,128285,128285,282175,303164,585339,713582,40.5,606504,554609,100069,34201,1459,18029,39,17903,349339,364243,22550,58017,174381,120238,81048,52775,585688,61366,52777,27684,42,299781,149728,74813
2014,Pennsylvania,PA,16,74513,101722,176235,266760,288195,554955,713791,37.3,590074,525434,121857,46877,2506,13134,196,22906,349390,364401,30871,76793,174400,99929,73986,39783,565349,51435,62979,26490,42,302333,143749,67832
2014,Pennsylvania,PA,17,93680,71371,165051,279315,297947,577262,701861,42.0,622302,585780,54556,41937,1394,12227,231,13872,344108,357753,17424,56852,201256,132241,64434,35697,583454,44377,75074,24185,42,331486,144131,63460
2014,Pennsylvania,PA,18,0,166076,166076,278523,298692,577215,707884,44.1,664928,658339,9355,17244,927,13153,100,9679,345801,362083,11893,34488,174184,129274,110387,63604,592917,77194,49493,30201,42,288667,146858,80198
2014,Rhode Island,RI,1,87060,58877,146353,214540,241538,456078,527527,38.6,411149,372315,80869,45734,2045,16287,459,17314,254957,272570,42192,58699,94626,92177,65476,46331,435658,50472,49177,26695,44,232293,101314,51579
2014,Rhode Island,RI,2,105716,63844,169904,214348,232788,447136,525725,40.6,445456,418607,58963,21093,2906,16707,77,12031,254869,270856,25777,45825,101304,98765,69141,43817,440168,57391,43672,29120,44,222816,101742,58219
2014,South Carolina,SC,1,0,119392,127815,266564,291622,558186,697052,37.6,517481,489533,45450,134597,2135,12082,357,16979,337561,359491,25366,39935,111751,148916,110019,65687,565627,70026,46348,30020,45,280091,142901,72609
2014,South Carolina,SC,2,68719,121649,194808,253520,273066,526586,673950,37.8,476940,454461,35884,158024,1699,11735,453,14166,328933,345017,19461,50028,118666,137679,88475,53247,541682,57182,49910,27869,45,284957,133878,65665
2014,South Carolina,SC,3,47181,116741,164009,253495,269729,523224,665355,39.8,513393,496053,29585,124455,1335,4935,278,11360,326510,338845,16947,82439,145515,130484,56089,31692,542071,31873,77920,21478,45,337118,123253,49827
2014,South Carolina,SC,4,0,126452,149049,254628,280531,535159,678947,37.8,509073,471036,51776,129704,1498,15436,292,12834,328559,350388,31838,67077,122848,131173,83543,47009,544805,49781,64277,24487,45,314187,126101,54736
2014,South Carolina,SC,5,66802,103078,175145,248747,270706,519453,672918,39.0,460138,442308,27480,181924,2668,6498,175,13483,327216,345702,14343,74868,146482,133521,63600,31680,538577,39141,61402,23340,45,321299,127190,50947
2014,South Carolina,SC,6,125747,44311,173432,255106,271107,526213,665292,34.9,255784,240037,30819,377378,1974,6593,533,11617,325782,339510,18116,84105,142040,120907,49188,28512,543249,21365,43154,18509,45,368259,115866,37759
2014,South Carolina,SC,7,68576,102833,171524,254037,281645,535682,673759,41.0,443572,428391,27465,199265,3828,5920,238,10460,323759,350000,18880,75175,160943,136905,60672,32225,551561,31193,66471,21136,45,346219,129081,45068
2014,South Dakota,SD,1,92485,183834,276319,317741,319257,636998,834708,36.8,712496,697982,26459,12642,72016,9433,229,20693,419494,415214,15304,50658,171665,177014,101655,43612,662290,53195,69413,26431,46,340438,197270,71387
2014,Tennessee,TN,1,0,115533,139470,273873,294377,568250,709035,42.4,668718,652588,24220,14984,1734,4851,119,11531,346664,362371,13384,88680,188967,129931,58022,35086,588276,32589,123075,20385,47,372403,134901,48383
2014,Tennessee,TN,2,37612,120883,166751,275262,298868,574130,716476,39.6,640645,621856,25585,46500,1840,10464,192,12034,348602,367874,17730,61613,148965,137729,86497,52143,589533,51988,90068,24265,47,336988,143310,57247
2014,Tennessee,TN,3,53983,97344,156097,273896,295578,569474,714069,41.0,608855,591334,24458,77859,1722,8522,186,11894,348522,365547,14216,81768,169506,140161,65700,39341,586926,43918,94349,22046,47,354922,136061,52025
2014,Tennessee,TN,4,51357,84815,145418,271187,288708,559895,723392,37.0,622066,592235,40655,58719,2558,10790,324,20802,355117,368275,24060,75074,168370,134464,65973,31098,578924,38566,95104,23220,47,341274,140489,58595
2014,Tennessee,TN,5,96148,55078,154276,282859,308559,591418,726983,34.7,475638,442256,65904,181937,1941,20741,416,16832,351432,375551,52092,68035,127659,126996,105712,61668,590586,55914,62140,26435,47,317081,156208,61383
2014,Tennessee,TN,6,37232,115231,162097,270461,289347,559808,720356,40.4,662364,644412,27474,30814,2277,6264,214,10771,353293,367063,15590,78550,185965,129821,63274,33319,581793,41340,96628,23448,47,341179,142761,56513
2014,Tennessee,TN,7,42280,110534,157907,269329,282005,551334,723369,37.3,613121,590333,33089,71916,2262,11462,931,16044,358580,364789,14899,65151,157594,128805,81574,42302,570715,57367,84888,25017,47,330202,127112,56034
2014,Tennessee,TN,8,42433,122255,172595,260720,285684,546404,707516,39.9,538568,524897,20946,138674,1621,12861,524,10266,343382,364134,12441,60387,152474,127857,84439,49711,567356,61370,58076,25739,47,318217,128033,59736
2014,Tennessee,TN,9,87376,27173,116550,250871,288234,539105,710169,33.0,199134,179039,47497,460598,1701,12486,350,12488,337603,372566,31326,73517,134794,135893,65271,36387,557877,31929,29674,21747,47,349712,126226,50010
2014,Texas,TX,1,33476,115084,148560,263453,281692,545145,707224,36.4,544512,448836,115576,127028,2966,7578,719,9664,346010,361214,42199,78308,138015,148494,61729,28509,560350,43197,80227,22369,48,341397,123182,52574
2014,Texas,TX,2,44462,101936,150026,301962,301351,603313,727414,34.7,518493,362592,223462,75574,3987,51842,1131,17166,366949,360465,93814,61028,96507,135372,120264,68263,576983,105760,51188,35795,48,274784,120451,75988
2014,Texas,TX,3,0,113404,138280,291638,313442,605080,747659,35.8,541405,453859,110622,64897,2964,96980,430,23640,367618,380041,74308,30387,69403,134303,161021,88262,575144,131609,38570,41458,48,251327,114802,77406
2014,Texas,TX,4,0,115085,115085,266787,280526,547313,709974,38.9,579463,518697,90258,76040,4482,6993,663,17284,350549,359425,31580,71278,155059,153518,62038,30774,564655,47444,76274,24193,48,328648,129471,59092
2014,Texas,TX,5,0,88998,104262,273634,274476,548110,715045,35.5,539591,394806,189241,104264,3754,13370,609,16550,359743,355302,71817,93606,142290,137651,58770,28912,553928,41451,85419,24459,48,330086,126496,55895
2014,Texas,TX,6,55027,92334,150996,271007,293125,564132,722690,34.4,500187,380204,156620,137354,4689,34290,351,20159,353472,369218,52836,56954,113407,152345,90908,40475,559741,64691,54472,30478,48,284826,134389,75835
2014,Texas,TX,7,49478,90606,143219,296846,316026,612872,727295,34.6,494581,332341,217075,92088,2112,73501,376,18656,358829,368466,126373,52112,77313,121310,137800,91492,569738,118887,55616,37434,48,266455,114258,70138
2014,Texas,TX,8,0,125066,140013,293151,282136,575287,740003,36.4,616849,495522,153696,61354,2852,17933,243,15820,377533,362470,59096,69362,134080,145234,90314,41582,579692,79175,72199,30061,48,321032,116008,63477
2014,Texas,TX,9,78109,0,86003,293228,318424,611652,726971,31.8,265459,83493,276222,278320,1755,82174,403,14781,354093,372878,156439,108913,109678,120348,73724,35087,561974,36667,59099,23045,48,350014,126483,48810
2014,Texas,TX,10,60243,109726,176460,287914,295685,583599,739999,35.3,568367,417000,198992,75278,3398,35949,125,17135,370211,369788,75266,61417,110255,134814,114695,58375,577057,87859,60342,31994,48,286055,130745,72398
2014,Texas,TX,11,0,107939,119574,276645,283019,559664,721014,36.1,631227,424784,254230,27448,4147,5973,225,14737,360239,360775,41241,90150,141356,144121,63430,26166,569010,55074,86965,24905,48,324905,130565,58466
2014,Texas,TX,12,41757,113186,158730,274815,295581,570396,728496,35.0,590063,470605,159347,59979,4590,22812,892,18319,356880,371616,46580,57627,122567,155946,92496,44933,572938,71721,62246,30714,48,290554,132924,77739
2014,Texas,TX,13,16822,110842,131451,273422,267399,540821,702742,35.9,604959,459701,177686,38089,5701,13013,564,19278,357454,345288,44056,78004,136640,149853,62721,26855,553967,44721,83824,25095,48,317766,133853,57627
2014,Texas,TX,14,52545,90116,145698,283738,278019,561757,711271,36.7,508428,371307,165537,143465,2152,21044,175,14566,360602,350669,45810,71719,138779,154618,70479,33339,566303,68363,59949,26648,48,321387,115651,60902
2014,Texas,TX,15,48708,39016,90184,259776,280478,540254,727807,30.2,644942,115329,588031,13303,2912,8754,98,8252,358536,369271,122833,131411,106059,101778,54329,21564,533554,28778,187237,18128,48,369146,94005,41625
2014,Texas,TX,16,49338,21324,73105,278962,313826,592788,719126,32.0,589554,107519,570088,27523,3939,8574,1230,16363,351111,368015,100990,99586,102811,132346,66299,31430,550155,35558,119199,20569,48,360618,106360,47619
2014,Texas,TX,17,43049,85807,132865,282113,293273,575386,719609,31.6,540817,408354,172817,95108,3202,31836,252,16518,357304,362305,58723,66125,113773,129866,78666,45092,579065,48945,96902,23237,48,343021,129338,57761
2014,Texas,TX,18,76097,26249,106010,279309,288290,567599,723033,31.5,335342,118236,290294,283838,3155,25871,319,11910,359247,363786,109562,113123,126114,118800,57341,31790,555504,41673,73639,22387,48,346506,118690,48635
2014,Texas,TX,19,21458,90160,116818,277780,270830,548610,708764,32.9,583735,396925,248577,43468,4129,9242,442,20656,359308,349456,37980,86288,124482,130910,61721,31162,559544,41284,94576,22157,48,340137,126682,51441
