Year,State,State Abbr,District,Democratic Votes,Republican Votes,Total Votes,Voting Eligible Male,Voting Eligible Female,Voting Eligible Population,Total Population,Median Age,White,White (non Hispanic or Latino),Hispanic or Latino,Black,American Indian,Asian,Pacific,Multiracial,Male,Female,Not a citizen,Less than HS,HS grad,Some college,Bachelor's degree,Graduate degree,Total income,Income above 75k,Income below poverty,Median income,State FIPS,Income under 25k,Income 25k to 50k,Income 50k to 75k
2014,California,CA,7,92521,91066,183587,298205,321737,619942,721345,37.4,470700,399883,120282,55921,5740,104373,5862,45654,354696,366649,50891,49221,101127,178538,100819,50341,575803,83988,52393,30783,6,298978,118622,74215
2014,California,CA,8,37056,77480,114536,273730,275793,549523,707590,33.8,522421,345048,261278,58493,10386,21372,2981,26823,354281,353309,50128,76953,127368,163033,41401,26037,544606,44925,92549,23051,6,344257,102961,52463
2014,California,CA,9,63475,57729,121204,289323,305435,594758,723517,34.0,413513,259310,273291,62628,6843,102086,3969,53796,358478,365039,86843,91876,113073,155097,59408,26795,558043,60450,63485,24251,6,335040,107018,55535
2014,California,CA,10,55123,70582,125705,279793,294623,574416,715504,33.5,527435,322702,295458,23418,5330,46339,4756,37524,355367,360137,80225,93266,126196,145844,52395,23208,548836,51129,86984,24309,6,329302,111870,56535
2014,California,CA,11,117502,57160,174662,303452,335256,638708,721629,39.3,461368,345343,186654,65027,3009,92109,3667,38022,349825,371804,90997,59390,88794,139611,127830,78021,583848,117459,44852,34173,6,287048,111246,68095
2014,California,CA,12,160067,32197,192264,385678,386945,772623,720093,38.3,370878,314302,105942,41806,2695,229061,3245,32210,367931,352162,99897,74227,70249,115056,187750,122521,640524,163531,36832,39784,6,279436,116423,81134
2014,California,CA,13,168491,21940,190431,321235,352515,673750,722995,36.5,330108,247140,154437,133076,5010,151565,4504,44438,351487,371508,100570,74607,79140,120731,123407,100898,604122,102606,41870,30466,6,311551,118902,71063
2014,California,CA,14,114389,34757,149146,351459,381408,732867,726899,39.4,360843,259952,176689,23999,2561,231314,10226,35611,357698,369201,111089,62924,91022,141380,137793,81126,601002,128203,26894,37059,6,275250,122315,75234
2014,California,CA,15,99756,43150,142906,326191,347703,673894,728585,37.2,358565,259920,170873,47108,3561,214038,7488,43117,359141,369444,105290,56722,100407,136625,125413,70416,578505,124980,28452,37694,6,273313,110003,70209
2014,California,CA,16,46277,44943,91220,269316,278207,547523,713649,29.5,414871,171181,420082,42751,7132,65588,1435,27902,355267,358382,122165,140395,100995,117508,33209,14644,527753,24477,111536,17967,6,377447,90849,34980
2014,California,CA,17,134408,0,134408,360876,372253,733129,727638,36.5,248867,188278,124073,18838,3062,369707,3794,32458,364550,363088,158084,49887,79048,110104,141657,123615,585555,154529,21553,42842,6,271700,94682,64644
