Total Population,Median Age,White,White (non Hispanic or Latino),Hispanic or Latino,Black,American Indian,Asian,Pacific,Multiracial,Male,Female,Not a citizen,Male 18+ birthright,Male 18+ bloodright,Male 18+ naturalized,Male 18+ not citizen,Female 18+ birthright,Female 18+ bloodright,Female 18+ naturalized,Female 18+ not citizen,Less than HS,HS grad,Some college,Bachelor's degree,Graduate degree,Total income,No income,Income under 10k,Income 10k to 15k,Income 15k to 25k,Income 25k to 35k,Income 35k to 50k,Income 50k to 65k,Income 65k to 75k,Income above 75k,Income below poverty,Median income,Year,State FIPS,State Abbr,District
709026,43.4,609204,549380,88929,8563,8712,31922,1064,28452,353829,355197,27865,246752,27956,14268,13688,248134,31309,19158,12151,36485,110191,197141,105493,51602,583464,81015,90025,49942,75124,57316,65110,46354,23244,95334,58966,30953,2014,06,CA,4
716945,33.3,384787,275536,196698,89734,6626,112129,9041,49936,348802,368143,80845,183778,72018,35201,36817,202406,78264,42222,36042,79811,104114,155986,77126,40953,565200,92076,99658,65818,74453,56191,63541,41148,17901,54414,74185,24433,2014,06,CA,6
707590,33.8,522421,345048,261278,58493,10386,21372,2981,26823,354281,353309,50128,213151,41929,18650,23279,212155,43285,20353,22932,76953,127368,163033,41401,26037,544606,119238,90913,57314,76792,48355,54606,36137,16326,44925,92549,23051,2014,06,CA,8
723517,34.0,413513,259310,273291,62628,6843,102086,3969,53796,358478,365039,86843,180385,75099,33839,41260,188571,77817,39047,38770,91876,113073,155097,59408,26795,558043,102983,99652,58687,73718,53480,53538,37796,17739,60450,63485,24251,2014,06,CA,9
721629,39.3,461368,345343,186654,65027,3009,92109,3667,38022,349825,371804,90997,185698,80510,37244,43266,203398,85868,45990,39878,59390,88794,139611,127830,78021,583848,86765,85886,46122,68275,51672,59574,45480,22615,117459,44852,34173,2014,06,CA,11
720093,38.3,370878,314302,105942,41806,2695,229061,3245,32210,367931,352162,99897,206825,113764,65089,48675,179062,126898,80985,45913,74227,70249,115056,187750,122521,640524,65468,88078,57209,68681,52916,63507,53526,27608,163531,36832,39784,2014,06,CA,12
726899,39.4,360843,259952,176689,23999,2561,231314,10226,35611,357698,369201,111089,157885,122366,71208,51158,159487,136893,85028,51865,62924,91022,141380,137793,81126,601002,80978,80100,45039,69133,55992,66323,51577,23657,128203,26894,37059,2014,06,CA,14
713649,29.5,414871,171181,420082,42751,7132,65588,1435,27902,355267,358382,122165,153456,88054,27806,60248,168706,80755,28746,52009,140395,100995,117508,33209,14644,527753,121446,108899,65240,81862,48390,42459,24278,10702,24477,111536,17967,2014,06,CA,16
727638,36.5,248867,188278,124073,18838,3062,369707,3794,32458,364550,363088,158084,125897,153743,81236,72507,117828,162475,91950,70525,49887,79048,110104,141657,123615,585555,105404,73094,38251,54951,44031,50651,43015,21629,154529,21553,42842,2014,06,CA,17
725285,35.4,353261,189650,296738,22920,5457,195282,2946,34896,363188,362097,117831,151010,122770,66726,56044,147654,126687,72847,53840,98305,94252,129680,99247,53210,576710,100330,90311,48964,69958,51327,57071,41471,19519,97759,41292,30342,2014,06,CA,19
710712,28.7,492937,133017,511225,31545,8116,23313,826,21730,377207,333505,159212,158091,105551,25472,80079,130267,90196,24771,65425,169844,98732,97450,22904,9398,520038,135775,103232,64483,80795,49351,36925,20330,8621,20526,143940,17345,2014,06,CA,21
724506,32.1,527478,298937,332654,23054,7063,53221,1321,30595,357296,367210,78656,186235,63961,25415,38546,204354,60959,26601,34358,88747,99188,146535,67631,33931,550936,98862,100547,55935,75442,54660,54260,38064,18174,54992,100223,24006,2014,06,CA,22
715126,35.6,559883,401049,249615,14325,6457,32231,949,26895,360776,354350,83912,221181,62777,21450,41327,220948,59791,24062,35729,74574,85219,150144,87166,57042,590922,86557,106145,55629,83395,59792,59938,41893,20507,77066,78301,25886,2014,06,CA,24
713059,36.5,552174,319870,315479,13630,4989,47762,1065,29642,353879,359180,93910,182728,79624,33953,45671,190382,80393,39041,41352,84729,85683,144796,90433,55310,565279,85129,87910,50551,79105,55073,54971,39722,19252,93566,63144,28598,2014,06,CA,26
714256,40.9,315857,205031,196795,31919,2114,264289,1115,23720,345796,368460,101125,151208,121196,76440,44756,156632,142570,93873,48697,78045,92940,132443,122064,82096,600010,108390,94597,56152,70332,53545,57856,42492,20917,95729,30439,29439,2014,06,CA,27
709580,34.0,268633,103945,327512,167743,3073,88743,3612,37259,340717,368863,124979,148819,101087,43123,57964,169776,111277,52271,59006,109543,101565,133704,74972,34442,560935,107657,93315,57353,83523,60489,54444,36877,16208,51069,47286,23787,2014,06,CA,43
727633,38.7,473946,394662,133934,12977,2425,158705,1965,30140,356313,371320,83444,184385,88646,51628,37018,190961,100910,63391,37519,34591,66698,137013,155737,98447,595666,101567,77419,39084,58137,48257,55388,46209,25006,144599,31607,41053,2014,06,CA,45
717316,30.9,406450,131737,477978,12800,3283,85845,1718,17713,361034,356282,187877,120722,138825,49875,88950,120017,139450,53999,85451,150372,101105,104395,54887,19759,553093,119203,85773,59697,92878,63329,55005,31582,12832,32794,75707,22109,2014,06,CA,46
716473,40.5,486414,407133,150449,8091,2314,127556,2171,26747,353842,362631,67480,199983,78994,48670,30324,202425,88688,57038,31650,55259,78172,155352,140861,78727,596184,88913,79206,45931,68973,54051,59083,48232,23618,128177,39434,36183,2014,06,CA,48
717346,36.6,557618,438415,188003,19588,3314,47112,3153,31883,364714,352632,69072,221664,56208,25382,30826,206395,63371,30281,33090,49983,78095,150542,118628,74192,574679,100167,72217,40820,75370,59663,55909,40106,20884,109543,58624,32660,2014,06,CA,49
722365,31.0,458669,98810,501562,51989,5982,58398,2134,28681,365727,356638,142794,156232,106694,45166,61528,134173,125929,56489,69440,140482,105259,127047,41850,15594,558197,132288,103314,64468,85920,55762,50133,27946,11565,26801,100889,19966,2014,06,CA,51
732283,34.7,479662,305207,240712,59498,4722,96015,4636,44715,365147,367136,77730,210625,72820,40755,32065,204528,87762,48915,38847,56409,93726,169637,111473,59940,602626,92574,87302,52894,74468,62969,72938,54440,24937,80104,61061,31184,2014,06,CA,53
719303,37.7,390656,233085,241739,16163,2370,210474,1950,28105,353875,365428,97117,161278,107223,63656,43567,165739,119820,73931,45889,57713,89434,146158,124705,60074,585978,108786,85611,46538,71437,51994,59160,45563,21581,95308,37854,31386,2014,06,CA,39
714098,39.0,489768,393033,185568,17754,2643,96107,849,28478,357469,356629,125012,165343,131568,74357,57211,144433,154456,95680,58776,76077,88364,142262,154982,73931,616762,84285,99658,66693,77707,59597,61226,46847,22084,98665,74252,28123,2014,06,CA,28
707030,32.7,413855,130669,482409,29649,3968,56488,961,18780,353563,353467,181637,114801,146175,59231,86944,113025,152375,69448,82927,149321,108303,105965,62573,19814,557768,114468,99206,65218,92277,59074,53199,30436,12097,31793,87154,20693,2014,06,CA,29
735233,38.6,496009,375777,209954,33366,2878,91266,845,34228,362031,373202,102684,172091,111428,63798,47630,174483,124858,77181,47677,60984,94877,146234,140773,73113,608713,94721,87099,52789,72024,58685,63301,48897,22974,108223,56214,32121,2014,06,CA,30
721640,31.5,430120,202564,366321,77996,5593,55202,2396,35527,355723,365917,85620,178849,72453,33202,39251,189144,77788,38016,39772,91118,105544,140006,60765,36964,553990,122520,93608,50851,71702,51911,53754,37572,16635,55437,77676,24925,2014,06,CA,31
715691,34.6,356284,122655,445085,21044,4774,117980,838,25653,351473,364218,121042,144218,117027,59725,57302,152253,125254,69102,56152,120624,120541,124384,64872,25634,571980,119751,95876,58309,86067,58607,55835,36545,15949,45041,51575,22958,2014,06,CA,32
712287,40.7,536446,477115,86220,19382,1888,98655,1488,35805,343219,369068,62421,208987,68026,42882,25144,217784,85434,54580,30854,21890,53982,116101,181514,137702,603864,82048,80197,37926,52239,41600,53158,49769,25925,181002,42868,48650,2014,06,CA,33
706331,34.2,270044,70156,461193,29944,4375,137244,1543,17099,361923,344408,225921,113882,167451,54495,112956,98903,170078,69254,100824,175761,96741,94311,74211,28499,577438,117887,108277,79936,110242,53225,41753,24289,10127,31702,72273,17393,2014,06,CA,34
723202,30.6,411918,108319,504977,51152,5983,46510,2156,28637,360673,362529,133418,148627,105907,43542,62365,154844,107225,45452,61773,131789,113319,120479,44229,16092,554971,132747,97220,55373,81567,56043,53860,31936,13452,32773,72289,21678,2014,06,CA,35
722617,38.8,491076,305991,347419,29771,7824,24124,1277,25650,361744,360873,101669,194278,76162,27937,48225,195364,78045,32555,45490,103856,127062,153142,60800,37224,574243,100433,98347,64526,90707,61830,55285,35408,14559,53148,83099,22600,2014,06,CA,36
717062,34.9,293935,176758,276367,171670,5228,71339,1132,27314,346103,370959,137704,163686,107128,40555,66573,181294,116159,52123,64036,102853,84980,120448,107439,68441,593186,102447,99923,61989,85655,54771,56397,39776,17767,74461,48906,24639,2014,06,CA,37
714959,35.7,376921,128184,440875,28046,5503,105539,1748,24488,348853,366106,97718,159658,98976,53466,45510,169925,111882,65202,46680,105466,117206,141622,67158,31100,573006,116395,86342,55647,81529,59807,60636,40158,18406,54086,47151,25601,2014,06,CA,38
706825,29.8,381381,35215,616783,35424,3148,16876,1170,13123,350851,355974,205906,98804,143333,42898,100435,105428,144853,51566,93287,199535,94630,77563,26288,8659,530211,134900,95812,67145,95557,50972,40405,21371,7520,16529,96118,17492,2014,06,CA,40
723608,30.1,422046,178275,419672,68191,7351,40322,2243,29387,357483,366125,103715,168755,83821,35026,48795,177329,86836,38829,48007,111279,110047,128798,43480,25442,554374,129899,97210,54417,76821,55554,52917,33252,14471,39833,76669,22457,2014,06,CA,41
709377,43.0,573649,511821,120331,12274,16101,26001,1727,30414,352585,356792,55292,233565,44986,17672,27314,239627,46210,22596,23614,50567,98276,160579,119058,77527,589610,72769,93800,58309,78045,56822,61871,45403,20813,101778,66550,29581,2014,06,CA,2
717238,39.4,490084,370158,192779,45665,7404,77829,3436,37330,350178,367060,77644,201088,68386,31680,36706,217883,72320,38336,33984,68157,104328,173645,98409,46950,587868,80143,90722,53498,77413,61231,68439,50577,22652,83193,56514,30163,2014,06,CA,5
721345,37.4,470700,399883,120282,55921,5740,104373,5862,45654,354696,366649,50891,206498,57182,34525,22657,215561,64373,41803,22570,49221,101127,178538,100819,50341,575803,89440,89865,51067,68606,55538,63084,49153,25062,83988,52393,30783,2014,06,CA,7
715504,33.5,527435,322702,295458,23418,5330,46339,4756,37524,355367,360137,80225,185370,65346,29077,36269,193447,68877,32299,36578,93266,126196,145844,52395,23208,548836,101915,97107,55910,74370,54078,57792,39155,17380,51129,86984,24309,2014,06,CA,10
722995,36.5,330108,247140,154437,133076,5010,151565,4504,44438,351487,371508,100570,188414,90422,42399,48023,207420,94882,50213,44669,74607,79140,120731,123407,100898,604122,83075,98194,55235,75047,56599,62303,48401,22662,102606,41870,30466,2014,06,CA,13
728585,37.2,358565,259920,170873,47108,3561,214038,7488,43117,359141,369444,105290,160460,106545,59186,47359,166348,115264,66091,49173,56722,100407,136625,125413,70416,578505,94216,77396,40985,60716,50937,59066,47284,22925,124980,28452,37694,2014,06,CA,15
724501,39.7,489656,408403,125748,14120,2655,146182,1626,33914,363346,361155,97677,187484,90427,45298,45129,184592,97762,54797,42965,34165,60009,115398,149568,145922,586775,83267,74033,35622,53933,43725,50274,42436,21577,181908,32536,47758,2014,06,CA,18
719355,33.7,551704,275076,371101,15261,5998,38705,2835,27417,363918,355437,132864,179389,91792,26436,65356,180120,87368,29797,57571,112104,88085,129812,73004,45293,568318,100852,91737,59796,86696,55248,54148,37081,17999,64761,88368,24289,2014,06,CA,20
717203,33.5,539232,348038,266494,46062,8701,35182,977,29281,363442,353761,56303,213255,48379,20286,28093,212615,45632,21505,24127,81313,118031,161929,55777,29326,553865,111919,92959,56379,68538,50492,51406,39802,19408,62962,95905,25469,2014,06,CA,23
712071,35.1,458701,314224,261850,56574,3938,55767,1491,37078,354399,357672,65656,186983,66133,35981,30152,188406,73313,42700,30613,68555,98371,156997,80232,38454,551921,114582,82110,44511,61930,49107,53065,39567,20351,86698,50919,31008,2014,06,CA,25
735866,34.3,505358,336159,268077,40404,5580,64804,3226,37097,366899,368967,65289,195247,66462,37252,29210,197275,71216,39666,31550,66636,112731,168894,73466,36792,567597,118019,83639,44843,68871,52601,55036,43443,22171,78974,51161,29918,2014,06,CA,42
715526,30.5,327696,48516,495043,116661,5362,41429,4404,28975,351492,364034,150587,128930,116155,44424,71731,142254,119058,49965,69093,156604,104970,109168,35852,12270,544292,125389,101239,61385,89263,54526,49171,27429,10402,25488,77710,19467,2014,06,CA,44
716563,36.2,396815,232486,248855,51733,5611,155241,5949,37931,352898,363665,100695,169283,98679,52771,45908,174137,106463,59369,47094,89097,93639,150271,93243,46884,580034,102135,94042,56227,76565,54455,58167,43224,20227,74992,63090,26777,2014,06,CA,47
720932,36.6,578604,420934,215614,17326,8182,37370,2676,34886,354986,365946,81204,204272,59610,24681,34929,208824,69684,30486,39198,75015,107612,169593,80973,38681,574511,109379,82241,50617,78313,60027,59993,41442,19536,72963,79943,27869,2014,06,CA,50
722414,36.1,502796,434927,95414,21593,3563,139783,2900,34925,364208,358206,68367,221806,70752,40647,30105,205051,81529,49726,31803,24098,61098,134677,157314,117924,603393,84032,82637,40053,63510,51255,63365,52075,27601,138865,42802,39929,2014,06,CA,52
754428,34.6,579213,431025,213741,64646,7593,25382,640,25617,376773,377655,73004,242398,52087,17567,34520,250084,49439,18306,31133,68841,96959,130733,140183,87879,616381,66628,97592,49969,81222,71039,79549,55094,24277,91011,78384,31263,2014,08,CO,1
721514,39.3,634524,515370,174695,7163,14866,5030,554,20418,363503,358011,30501,258982,19896,5808,14088,257175,21212,7327,13885,52708,131744,161829,95899,49186,584883,62972,113382,53941,89605,70525,73828,48092,19149,53389,87783,25446,2014,08,CO,3
749853,35.5,566664,470326,147901,67781,5020,39650,1318,31998,369446,380407,67012,216658,49825,19337,30488,229714,51617,22728,28889,41301,98241,150841,129170,67165,580480,73636,83735,41753,71167,62715,72724,53908,26183,94659,45523,33938,2014,08,CO,6
743871,37.2,673007,622297,75414,6599,3419,21471,756,20293,374749,369122,30725,272237,24635,9894,14741,270271,24384,11178,13206,21116,76912,138285,151631,104703,617700,57684,114204,45900,74061,64778,74886,54243,25016,106928,74228,31837,2014,08,CO,2
740752,36.6,657032,540435,160349,9905,6020,13081,590,20635,373675,367077,38992,244940,28998,9984,19014,245641,25688,9999,15689,51815,116889,156151,104271,50186,577564,72784,101416,44144,72936,62740,70819,48544,22229,81952,69022,30269,2014,08,CO,4
742085,35.3,608594,538979,110840,41929,5193,18040,2001,37868,377154,364931,25127,263791,20216,8817,11399,250290,25865,14042,11823,34981,109364,175318,98828,62880,590865,76203,102596,51037,79561,65271,75306,47904,20934,72053,64061,28349,2014,08,CO,5
745077,35.9,645877,486767,205662,11039,7806,23907,782,23377,372970,372107,49451,245357,35720,12066,23654,249849,35914,14682,21232,61484,129226,154981,99693,52010,594916,67585,90496,46526,80125,73209,86470,55737,24135,70633,72569,31205,2014,08,CO,7
714049,41.2,624366,593355,52861,27587,2260,22192,262,22426,357651,356398,22927,258616,22828,11247,11581,260137,24160,14475,9685,41340,147917,136518,89336,71659,594590,60179,99020,44072,74644,60826,73230,58213,27993,96413,42219,32855,2014,09,CT,2
728317,39.3,537021,462246,132078,88510,1418,36650,165,16362,354733,373584,85792,193050,68970,27694,41276,214637,71359,34404,36955,52032,102285,99516,129936,103782,579891,79088,88264,37677,66911,51309,55801,42163,22144,136534,34025,36430,2014,09,CT,4
716939,40.5,512344,455161,111392,107114,1659,34048,303,23313,346163,370776,51141,217088,48370,25050,23320,241720,52838,30022,22816,56924,137302,128980,99117,74641,588695,64079,91966,44273,75306,61528,72374,56736,28725,93708,39491,32995,2014,09,CT,1
716410,39.5,540319,483710,96302,95623,1660,29061,144,16985,343210,373200,44800,227898,39565,18127,21438,258930,40934,21177,19757,49339,149064,122525,91597,79074,595415,68716,97525,45963,76437,62813,70981,57771,25892,89317,43437,31608,2014,09,CT,3
716338,41.0,575055,513888,120162,47037,1039,23891,231,19711,348864,367474,50293,224079,43446,19612,23834,242584,45759,23686,22073,57376,141319,124589,96676,72733,586967,69999,88995,47065,77301,59869,69375,53835,23745,96783,49211,32175,2014,09,CT,5
917060,39.1,639354,590218,78598,198028,3134,31745,494,23936,443923,473137,41352,304385,35529,15865,19664,336218,36412,17868,18544,74267,195806,168049,108647,74117,747226,90253,122554,60804,99929,87009,98702,68049,29768,90158,58073,30062,2014,10,DE,1
702714,34.2,275511,219421,86494,368170,1758,16379,660,19765,337924,364790,47795,208917,38891,17333,21558,234871,42965,20954,22011,84701,154338,137923,49782,21825,554617,100038,113451,62983,96618,66362,57211,28703,8725,20526,54424,19827,2014,12,FL,5
704638,46.8,589975,537755,67472,70183,1884,14106,504,18212,343564,361074,26412,247529,27399,15508,11891,261372,34323,21897,12426,53122,153101,173285,85536,51555,596126,81658,98886,60179,97825,70903,69235,41745,17680,58015,72067,25039,2014,12,FL,8
720838,38.4,559415,534947,41544,96120,4501,18329,1604,29499,362116,358722,17408,266761,15717,8131,7586,259756,21816,13122,8694,53377,137660,171228,79965,43639,590664,81273,105831,54123,91325,75125,67991,44180,17598,53218,66830,25380,2014,12,FL,1
705039,36.3,490089,462011,39153,173210,3352,13546,250,17669,356925,348114,18594,267897,16570,7157,9413,261635,17155,9261,7894,65556,134368,137824,74393,48530,586844,107145,113365,53287,81289,67771,68104,37235,15631,43017,74327,23753,2014,12,FL,2
704221,38.3,557228,513407,57600,95275,2119,21012,419,19229,353941,350280,24706,256611,22676,10562,12114,254654,25176,14426,10750,61614,143838,147623,66487,45701,584571,108909,110813,54751,84185,63238,65357,38917,16323,42078,88269,23247,2014,12,FL,3
711805,37.5,549777,505561,57124,98158,2243,31955,644,21180,348561,363244,32520,239540,29682,15532,14150,250653,35873,20303,15570,45513,136050,160913,98344,46630,581597,82983,85033,47540,80673,70280,79617,50019,21049,64403,59982,30019,2014,12,FL,4
716304,46.1,604703,568379,51642,67103,1915,13749,496,14492,348491,367813,22452,255853,23942,13327,10615,271914,28395,17785,10610,56758,155631,166448,91048,50052,605966,89191,102905,63373,96212,70081,70856,40950,16669,55729,78594,24455,2014,12,FL,6
712793,37.7,578734,467437,143539,65144,1740,25745,567,20467,348138,364655,35070,233890,35778,20526,15252,248379,42017,25432,16585,40161,122002,154094,104260,55563,588234,98157,96651,51366,83975,66639,71387,40682,18318,61059,65924,26558,2014,12,FL,7
745639,34.7,557259,276710,346764,83404,2191,32157,946,24140,366210,379429,75992,205134,67069,33659,33410,213050,76647,41053,35594,72103,144733,151439,79116,33919,595098,102727,106253,63661,98458,73744,69168,34138,12805,34144,93174,22140,2014,12,FL,9
709489,51.9,616480,565132,64770,60144,2484,8881,238,13154,345249,364240,16986,263514,19681,11377,8304,281791,24292,16857,7435,73167,198120,173382,63742,35731,611720,84058,110129,72823,115688,75769,67755,38654,12323,34521,87957,21587,2014,12,FL,11
709722,44.5,630191,558341,86406,33007,1853,18825,496,17093,343495,366227,28129,238400,29802,17612,12190,257731,36918,23515,13403,52112,157307,163694,92901,46633,589657,82804,91465,59836,91219,67916,70366,45984,18096,61971,73382,26288,2014,12,FL,12
725056,35.7,457027,298590,204945,191798,5060,21124,637,20102,354126,370930,68958,214617,55964,24269,31695,230835,60937,30081,30856,75644,145529,139383,83209,44199,589713,89023,108157,57249,92338,72870,69851,38598,14442,47185,79629,23963,2014,12,FL,14
