Total Population,Median Age,White,White (non Hispanic or Latino),Hispanic or Latino,Black,American Indian,Asian,Pacific,Multiracial,Male,Female,Not a citizen,Male 18+ birthright,Male 18+ bloodright,Male 18+ naturalized,Male 18+ not citizen,Female 18+ birthright,Female 18+ bloodright,Female 18+ naturalized,Female 18+ not citizen,Less than HS,HS grad,Some college,Bachelor's degree,Graduate degree,Total income,No income,Income under 10k,Income 10k to 15k,Income 15k to 25k,Income 25k to 35k,Income 35k to 50k,Income 50k to 65k,Income 65k to 75k,Income above 75k,Income below poverty,Median income,Year,State FIPS,State Abbr,District
691393,37.7,558082,514101,71120,18808,6853,50636,3654,32773,343481,347912,44847,217037,36903,16978,19925,219972,40214,20904,19310,40653,116273,154248,95498,48522,544914,73111,85450,35897,62489,53760,64309,51414,24773,93711,53950,34642,2014,53,WA,8
694428,35.6,518936,475126,73191,43107,10021,45092,11260,47408,343940,350488,33622,229978,27329,13532,13797,230304,38394,22496,15898,40740,123350,174113,74732,41712,553901,75204,88054,41682,74403,61398,74724,53257,24028,61151,58410,30593,2014,53,WA,10
617878,41.0,586284,580769,7394,14436,1128,5513,278,9011,307032,310846,5343,239917,4592,1756,2836,248058,4079,1997,2082,53505,175909,110129,54124,33437,518250,71020,109924,51570,82766,60909,56598,36585,13193,35685,96968,22056,2014,54,WV,1
624133,41.7,575276,567492,11235,22236,794,4408,139,18700,307498,316635,5794,232953,5212,2641,2571,244609,5448,3054,2394,63975,177370,107404,55249,34314,511478,65827,95719,48878,82739,61146,61291,39040,14876,41962,84538,24355,2014,54,WV,2
611870,42.1,574256,570610,5432,22457,1153,3223,228,9210,300050,311820,3434,232210,3110,1021,2089,247037,2929,1713,1216,84691,178026,104139,41033,25309,506905,76725,112848,54509,82992,57743,52376,28518,11772,29422,111613,20317,2014,54,WV,3
726365,36.3,634495,606061,44264,30710,2226,27705,142,19258,359665,366700,31190,254625,22791,7819,14972,266911,21089,8029,13060,33666,121049,139064,113236,73641,591764,45464,102940,49142,82037,73458,85490,58884,24112,70237,66046,30366,2014,55,WI,2
715142,38.3,673833,663449,15985,7620,4495,14647,286,10327,359919,355223,8302,273341,6922,3094,3828,273231,7659,4136,3523,41292,164724,153197,71918,37457,587861,49192,119549,57251,94064,77956,84669,48415,17414,39351,88183,24799,2014,55,WI,3
715229,41.0,662957,635832,37853,12799,1810,17138,49,12252,350120,365109,16192,253280,15514,7811,7703,271428,14865,7719,7146,32530,139723,153216,116204,55230,583397,46860,89860,44206,81883,71549,84929,60507,26280,77323,47330,32061,2014,55,WI,5
711646,41.3,664198,644040,29377,11327,3211,15164,164,10861,357619,354027,12088,267069,10607,4794,5813,266598,10903,6062,4841,44125,175193,151618,81738,38585,583402,52312,97207,52834,93585,76054,86824,55060,20544,48982,59434,27417,2014,55,WI,6
717501,39.7,652343,632741,33261,8965,16941,15067,97,14436,358231,359270,15940,259366,11991,4260,7731,265917,11196,4739,6457,41816,177044,152498,83085,33881,577854,49894,96322,50795,90291,78175,86527,57765,21118,46967,57599,28033,2014,55,WI,8
713727,39.6,630704,583303,65650,38398,2376,11725,221,16740,354834,358893,19563,249187,17934,8315,9619,258947,16457,7815,8642,44342,155370,155697,85383,42712,573535,60295,91635,46540,81569,68998,79891,57036,24626,62945,59572,30112,2014,55,WI,1
714688,32.2,380115,311667,114647,243009,4022,25234,204,25796,344104,370584,43247,217369,32779,11583,21196,250757,28982,11677,17305,72100,127478,125727,74714,42947,559498,76563,111799,58933,88276,64589,65943,41383,16471,35541,59392,22472,2014,55,WI,4
710394,43.1,666553,656618,14255,4930,14482,10724,140,11106,357558,352836,7218,268724,6868,3140,3728,268259,6465,3767,2698,46318,186428,160923,70763,34363,579082,47604,99845,60424,97412,80053,85070,49713,17329,41632,73322,25846,2014,55,WI,7
575251,36.8,522535,487918,54181,5958,13144,5377,332,15518,293467,281784,12273,214275,8497,2625,5872,206482,9133,3920,5213,29366,112082,143909,64017,31724,460282,39698,79813,39342,65825,54849,59758,45631,19607,55759,53755,29300,2014,56,WY,1
699597,39.1,471464,457189,20829,194080,6832,9710,116,12119,338350,361247,10828,245683,9423,4291,5132,272190,8773,4284,4489,64061,155440,143528,72713,37294,564533,90857,98895,58970,86887,62583,64359,40759,15941,45282,57876,23809,2016,01,AL,1
683013,38.2,441794,426855,23861,210862,2615,7469,129,12852,332380,350633,11827,243152,8654,3031,5623,264857,8932,3957,4975,74623,148058,137373,62886,37479,552482,79445,107360,58250,84058,62920,64006,38507,15168,42768,57888,22951,2016,01,AL,2
700551,38.1,490808,479128,20321,178003,2054,11111,234,11800,341645,358906,13007,252772,9178,2878,6300,273438,9075,3631,5444,78246,147821,140482,58858,39562,571794,82257,113676,60869,87730,62554,65253,43341,15740,40374,74781,22398,2016,01,AL,3
683607,40.7,602348,573872,42321,47540,5190,4331,664,12371,334865,348742,18888,241898,12908,2930,9978,262211,10340,3060,7280,93232,159606,140513,47547,29050,554777,83346,104755,65279,93913,62011,61951,37641,12772,33109,102050,21456,2016,01,AL,4
704796,39.3,540596,516064,34488,121575,4343,11326,474,18465,344968,359828,18267,250741,13773,5233,8540,267272,15103,6840,8263,63743,130997,139585,92907,53772,575422,83776,99437,54238,79761,62915,64270,42607,18362,70056,64848,26479,2016,01,AL,5
694370,38.8,552673,534918,33721,101997,1703,11834,112,10497,336634,357736,21260,239343,14624,4653,9971,262450,14011,5343,8668,50294,120576,137169,103214,64459,558740,76484,85739,45879,73051,59578,68772,53350,21535,74352,50682,30808,2016,01,AL,6
675230,35.8,225354,216309,17962,427996,1182,4963,279,7308,317351,357879,12586,231941,8789,2156,6633,277051,7393,2207,5186,71837,147095,134053,54257,29078,550958,85208,132355,63969,86906,58468,54653,30764,10989,27646,34352,18710,2016,01,AL,7
736855,33.6,483518,456575,49031,24443,103574,44218,8862,62340,385296,351559,24109,265085,23681,13697,9984,233424,27049,15605,11444,36032,130511,168631,86551,48974,579321,27908,113882,42030,74407,60867,73273,57715,28648,100591,30947,31944,2016,02,AK,1
720794,40.6,584916,446683,198800,29891,10018,20813,1564,30989,356055,364739,40011,246193,33844,16693,17151,249938,41818,22749,19069,47880,105203,180381,94538,69884,597140,75269,100438,59477,95055,69380,69277,47285,18215,62744,83390,25681,2016,04,AZ,2
739672,31.2,527986,203565,458083,34504,29914,12984,991,24127,369999,369673,90958,195866,69079,29095,39984,188946,79551,34824,44727,107517,120045,138586,44836,23182,568456,116053,113270,56115,85228,64588,62934,31570,11841,26857,112164,21247,2016,04,AZ,3
765403,37.8,655028,548572,135499,22784,7794,34802,1895,22700,375600,389803,37069,239196,32754,16178,16576,252149,38410,20612,17798,36177,111284,181853,113036,62270,596609,83365,84696,44997,74604,64683,75522,55295,23691,89756,57780,32437,2016,04,AZ,5
767495,29.2,485166,158094,491499,74685,21363,18062,1972,25418,385656,381839,152309,169295,93983,23370,70613,170590,93796,24786,69010,141528,121080,113473,40406,20953,565182,140160,96736,56328,92197,64864,55368,29505,7994,22030,162310,20970,2016,04,AZ,7
753310,41.3,638647,525507,145142,33771,5988,26079,1097,25080,361112,392198,29912,242943,29238,16854,12384,270200,36387,21618,14769,41480,133224,199094,96205,51665,608763,86736,81763,49115,83577,73122,83026,57157,23018,71249,56819,30997,2016,04,AZ,8
735985,36.8,478403,364146,159406,17121,173475,11738,1251,24492,370881,365104,26216,256107,22241,8505,13736,255167,21177,10438,10739,69234,126557,166753,67879,44360,585913,113806,113886,52847,77964,60343,63857,40379,15634,47197,68543,23676,2016,04,AZ,1
738648,47.0,650407,554703,135922,13422,13762,8999,1283,18518,374018,364630,36563,267344,31075,11950,19125,263334,29105,13304,15801,71481,163312,203314,63787,36536,616068,89002,105722,65204,104988,73291,72763,43002,17206,44890,92540,23581,2016,04,AZ,4
752459,41.8,640517,547571,122884,20352,11808,35473,686,20865,369933,382526,55669,244242,46063,19910,26153,257164,49390,24552,24838,41502,99760,166322,143769,86861,624184,82319,83453,45925,77273,66741,78820,54773,22593,112287,71986,34440,2016,04,AZ,6
754811,33.2,574088,429035,207614,40580,22610,36279,2124,30390,380852,373959,67496,247291,51005,17852,33153,243485,50593,20835,29758,54444,97893,159833,113225,68033,619514,85231,97265,52928,85543,73064,81075,49613,21548,73247,87852,29111,2016,04,AZ,9
754821,36.6,547321,520589,37678,167337,2281,11741,346,17656,366015,388806,18989,261163,13904,4648,9256,288067,13410,5372,8038,54633,154496,149241,89806,52361,605935,79497,101377,59284,94693,70866,77119,48386,19448,55265,66654,25878,2016,05,AR,2
715985,40.7,535474,515103,40173,140505,4989,4495,105,12039,350552,365433,16091,254411,10802,3241,7561,274908,10965,3628,7337,78756,186747,141985,52088,26194,580471,81567,118638,69669,99177,67537,64529,36365,12677,30312,89727,20765,2016,05,AR,4
724990,39.5,567645,553496,23209,130344,2880,3567,325,12844,358370,366620,8557,264910,6737,2487,4250,277333,5804,2296,3508,84130,188121,142060,50727,26391,584409,85098,117305,69442,98998,68321,64790,37784,12100,30571,91848,20890,2016,05,AR,1
772676,35.2,656696,588712,105989,22452,8547,21736,5962,23540,381757,390919,50822,249064,34172,10353,23819,263339,32249,10118,22131,74709,154522,139745,80936,45943,609660,91656,100867,61108,100327,75195,69537,43062,15564,52344,99638,24598,2016,05,AR,3
741332,39.4,348631,259457,178356,22630,2484,243714,10151,37710,365474,375858,113190,163265,124828,72270,52558,161374,141085,88238,52847,62912,88738,139938,146794,89051,614812,78983,83959,43858,68853,54456,65304,53988,23491,141920,25003,38583,2016,06,CA,14
751439,37.8,361624,258550,172061,45912,4065,235874,8320,45289,369831,381608,111158,164614,112537,62669,49868,168957,123868,71739,52129,54959,100647,139592,136043,81251,599509,95410,76514,41187,60749,49681,60032,51251,24040,140645,27666,40519,2016,06,CA,15
703985,42.6,608538,546028,92225,10053,13098,19211,1211,33056,353795,350190,21797,259547,21373,10099,11274,260882,20754,11654,9100,53909,121199,201073,74746,39133,588021,82199,107108,69173,89998,63081,61961,41340,17120,56041,100822,23105,2016,06,CA,1
713613,43.6,573929,510774,123384,10745,15143,26342,1467,34765,354294,359319,53223,236292,44767,18787,25980,242725,45876,22695,23181,49336,95275,162419,122821,81577,594714,69329,92159,56935,78642,55840,62226,47631,21421,110531,61920,30796,2016,06,CA,2
718699,44.1,613491,551767,92681,9472,7474,34526,1326,30640,357434,361265,28133,249759,29435,16079,13356,253504,33175,20288,12887,37720,111205,198257,109104,55780,594439,84358,85086,51858,75527,57066,63861,49441,23277,103965,58316,31810,2016,06,CA,4
724966,39.9,472505,366710,199564,46276,6905,79414,3514,41970,353515,371451,75200,205245,69914,34235,35679,222669,73893,40059,33834,67417,104255,178606,102430,50441,598725,76098,91370,53526,78359,61922,69957,55328,23118,89047,48425,30798,2016,06,CA,5
732954,38.1,474584,399352,123832,54965,5167,110979,5840,50779,359666,373288,51341,210178,58621,36541,22080,220789,67862,44576,23286,49371,103053,182092,107128,54318,588014,91266,88418,51382,69100,53960,65017,51881,25817,91173,52560,31769,2016,06,CA,7
739025,34.3,408198,256989,281912,65639,5312,106080,4061,65174,365049,373976,88137,183520,77752,35818,41934,193502,80546,41228,39318,93132,117396,158823,62706,27703,570566,107071,96257,58475,74632,56111,55843,40016,18026,64135,57490,25344,2016,06,CA,9
729022,34.1,529848,320336,309266,23204,4530,47883,4764,38884,361773,367249,79890,191712,68165,30858,37307,198246,70811,34217,36594,94223,129741,153571,54222,24103,564018,103419,95794,57746,74521,55607,59864,41254,17968,57845,78748,25313,2016,06,CA,10
740337,38.2,373197,321786,109702,40213,2665,236191,2940,36612,378992,361345,98160,213654,116356,67793,48563,187094,126415,81560,44855,72801,69701,115672,198842,134104,657156,62355,88139,55405,63118,50244,61776,57297,28835,189987,33277,43902,2016,06,CA,12
721109,29.9,411006,165134,431478,42971,7726,67168,1317,29035,359006,362103,118455,159615,86963,28782,58181,170117,82909,30741,52168,140788,103414,122178,34477,15547,535112,118374,107792,67009,83381,50526,44424,25755,10351,27500,110130,18655,2016,06,CA,16
748800,36.5,238160,184656,123253,19207,2967,394803,3738,33231,377782,371018,169536,128369,165839,85775,80064,118370,170394,96811,73583,49024,78701,108612,151373,136145,608314,106791,74243,37547,53645,43918,53840,44573,21762,171995,18614,45753,2016,06,CA,17
730782,39.9,479277,404165,122091,13986,2145,157730,2653,35508,364820,365962,101641,184451,94005,47228,46777,184972,102105,57528,44577,34199,57597,110046,152743,156366,592174,82429,71802,35367,53678,41313,48128,44647,22180,192630,29995,50918,2016,06,CA,18
748954,35.7,340343,192102,305535,22902,4657,204901,3483,39189,376385,372569,118060,159335,125945,69561,56384,154153,129904,75994,53910,99540,93911,135383,106938,58663,598778,97793,91674,50949,72676,53441,58877,44756,20140,108472,33774,31165,2016,06,CA,19
729525,34.1,534668,273999,382011,14241,5297,38142,2438,30555,368281,361244,132645,183720,91964,26990,64974,183557,89226,30108,59118,113639,88848,131493,75605,48256,577585,100878,87772,57843,91588,56547,55004,39764,17892,70297,81945,25148,2016,06,CA,20
711464,28.9,501027,123880,524975,29486,8039,22169,1475,19779,376162,335302,154279,158393,103742,25772,77970,132540,91213,25379,65834,167836,104098,97591,23270,9416,521918,137858,97864,65278,80989,49399,39629,21907,8436,20558,147692,17947,2016,06,CA,21
739449,32.5,543803,298264,345109,23239,7265,56341,1393,29901,364833,374616,77013,193900,63862,26115,37747,210317,62071,28030,34041,89593,103292,150173,71240,36948,564818,103044,97385,57110,77089,55301,55773,41065,18471,59580,106637,24883,2016,06,CA,22
730050,33.6,544428,345364,278572,47269,7951,37483,1191,28889,370202,359848,55722,217261,49422,21931,27491,216334,46999,22767,24232,80641,123878,162171,58730,30788,563130,116242,91271,54964,69806,52039,52511,40252,19841,66204,96118,26097,2016,06,CA,23
727935,35.7,572358,402357,258970,14455,6362,33928,1079,28392,366776,361159,83747,226558,62988,21655,41333,225757,61087,24940,36147,72708,85554,151066,93387,59201,601820,83490,106495,54230,84025,61397,63125,45670,20513,82875,78196,26738,2016,06,CA,24
719970,35.7,466033,310011,271980,56017,4142,58586,1177,38892,358250,361720,63922,191215,67922,38606,29316,191484,75000,44826,30174,68883,103014,159063,83148,41332,560656,115727,80435,45171,61153,50154,55069,41240,20651,91056,52408,31605,2016,06,CA,25
720336,36.8,571749,318091,321962,13317,5338,49230,1325,30365,357322,363014,95112,186602,80263,33577,46686,194554,82224,40480,41744,84411,85315,148413,93984,58538,575022,88354,83604,50914,80746,56777,56498,42795,19829,95505,64495,29920,2016,06,CA,26
717212,41.4,292883,195585,198779,33040,2445,272005,1509,25699,348045,369167,102917,153897,120922,75891,45031,157746,143674,93623,50051,75523,95952,130500,127639,84064,602638,106254,94884,56606,71590,52228,57329,42765,20620,100362,29404,29935,2016,06,CA,27
716990,39.2,481562,392116,185806,19872,2499,96156,896,28772,358939,358051,116515,170596,128907,75126,53781,150789,151565,96692,54873,72320,90283,140507,160164,80993,621207,82872,97201,63514,76996,59063,63323,50053,22066,106119,70441,30206,2016,06,CA,28
717765,33.4,417277,132009,492764,27812,3983,56074,848,17927,357869,359896,171857,121429,146894,63985,82909,118539,153818,75589,78229,147601,116262,108610,67407,21722,571400,115940,96130,66964,94169,61304,56717,32133,13073,34970,86007,21439,2016,06,CA,29
750372,39.1,499075,379469,215780,35670,2612,93494,1192,34494,369239,381133,99028,177493,114076,66881,47195,180756,126475,81261,45214,61554,96427,149233,147662,76040,625630,94999,86279,54180,75476,57696,65509,51205,24318,115968,55849,32427,2016,06,CA,30
719110,35.6,342291,116617,445509,20624,4829,125903,1339,25265,353519,365591,115253,152251,116159,61823,54336,155494,126714,72322,54392,119150,125192,129554,68963,27359,581873,116915,97081,58325,89574,58709,58962,38051,16477,47779,47594,23182,2016,06,CA,32
720384,34.3,285572,75343,463532,31661,6728,140943,1326,19267,366833,353551,213865,124953,162688,56464,106224,107011,169657,72357,97300,172791,98952,97233,84825,32808,590495,115186,106676,78095,112338,54441,47639,27098,10952,38070,75314,18838,2016,06,CA,34
730260,31.4,367951,105833,511252,50009,6556,48384,2672,30932,367148,363112,128424,160303,104204,43865,60339,158564,107614,47332,60282,132652,117852,125534,48554,16988,566476,132264,95366,55793,83167,58944,57238,35108,14347,34249,56401,22362,2016,06,CA,35
722138,35.3,302177,181277,275638,169733,5791,73683,1060,28579,348948,373190,129760,169555,106385,44250,62135,186330,116819,55207,61612,99043,87515,125192,110995,73599,601843,101929,97156,59553,85214,56480,58685,42859,18219,81748,47912,26073,2016,06,CA,37
722857,38.3,384747,227797,242179,15931,2725,217919,1758,29967,355289,367568,95440,165518,107294,64289,43005,168837,121882,76702,45180,55948,90042,146670,131446,64984,593464,105630,84865,46446,72473,52663,60295,48658,22783,99651,36196,31915,2016,06,CA,39
709435,30.2,388597,33407,621402,34706,3976,17241,1159,12983,350935,358500,196212,105235,139896,44248,95648,112434,142394,51965,90429,196444,96778,82723,28273,9627,535938,132103,94280,65855,96824,54997,42659,22846,8582,17792,93030,18721,2016,06,CA,40
761341,34.8,508737,333321,289227,40769,5090,69397,2816,41018,378469,382872,67861,203219,69737,39449,30288,206077,75040,42117,32923,68092,119923,176866,77356,40008,591547,122139,86228,47094,71928,53523,57331,46125,22265,84914,53430,30248,2016,06,CA,42
721109,31.3,325604,47836,504911,114539,7011,41374,4487,26716,353860,367249,146161,132168,116347,47021,69326,146334,120966,52498,68468,158302,108552,111791,38003,14002,552126,123774,99823,61779,88850,56340,51355,29851,11320,29034,73475,20425,2016,06,CA,44
749687,39.1,473936,391671,138272,14313,2047,176190,1737,33630,366784,382903,89658,187938,93131,53878,39253,195810,108056,67546,40510,32526,65399,139999,166248,107036,615456,103033,80127,40233,60111,47350,55957,49935,25005,153705,33731,41503,2016,06,CA,45
716958,36.5,394222,227015,253438,53116,6987,156605,5294,34976,353742,363216,94093,172085,97455,53914,43541,175608,106807,62675,44132,88334,93775,150536,95163,50316,582875,105439,89681,55626,75349,54879,58706,44977,20022,78196,61581,27504,2016,06,CA,47
723983,41.0,489761,406202,154090,8496,2768,129863,2421,29865,357467,366516,67088,202841,80337,50119,30218,204254,90903,59207,31696,55366,77508,156560,146506,82399,604621,89228,78964,47490,68395,52415,60600,49524,24467,133538,38615,37068,2016,06,CA,48
736001,36.9,575948,419811,224935,20671,8441,40601,2812,38679,364819,371182,78614,208759,63799,29208,34591,210920,71834,34254,37580,70767,110588,172977,87579,43172,586605,100499,85370,51401,80042,59922,65003,45645,20144,78579,74472,29009,2016,06,CA,50
742154,36.3,515122,435862,105672,22613,3735,146427,2399,36881,373517,368637,74642,223572,76897,42836,34061,209813,86361,52695,33666,24974,62103,135358,166338,125754,621368,87881,83783,39404,65850,51950,63987,54072,27920,146521,43189,40579,2016,06,CA,52
753024,34.9,491382,305669,252384,61894,4117,100982,5675,45531,376528,376496,77130,221436,74353,41901,32452,210582,90098,51350,38748,58305,96168,172673,119223,66184,622142,94514,87656,53571,75696,64865,74666,58784,24482,87908,61116,31646,2016,06,CA,53
722896,34.8,475637,352057,210154,43299,7205,80443,3711,43678,362087,360809,70584,209366,62711,28408,34303,211041,65693,34022,31671,75248,107548,163266,69580,42634,578561,97917,102234,53627,74888,56376,61375,44611,18309,69224,67912,26239,2016,06,CA,3
734450,33.5,389889,276514,204587,91465,5594,114758,9855,51402,357155,377295,80244,189650,75656,38879,36777,205078,81963,46056,35907,78381,111476,157610,83818,43669,581375,97954,98356,64331,76225,57717,64601,44166,18519,59506,74533,25394,2016,06,CA,6
716168,33.9,541529,332529,279648,58895,10121,21628,2499,31212,357003,359165,48498,213015,44058,21800,22258,213959,46673,23605,23068,78008,128430,165317,43446,27506,551648,120620,91498,59534,76964,50788,53088,37311,16197,45648,105244,23142,2016,06,CA,8
739386,39.6,456271,346910,194229,62209,3035,100366,3765,43308,359893,379493,94652,189223,85668,40565,45103,205921,90755,49090,41665,60928,87514,143762,134958,81959,600227,88761,86303,46113,68126,52225,60196,49119,23813,125571,39720,35583,2016,06,CA,11
740683,36.6,327367,255128,161384,131139,5486,152144,4441,50259,361083,379600,100577,194331,93018,44648,48370,212734,98167,52879,45288,77314,76462,125002,130315,108397,620484,83328,96984,55460,73765,57316,64087,51804,23546,114194,37768,31665,2016,06,CA,13
733581,32.0,450918,199320,382935,77946,5182,57161,2151,35491,361438,372143,83394,184618,74080,35232,38848,195066,80413,41392,39021,91135,108073,145738,64550,38259,568517,125732,96698,53490,72012,53579,55230,38556,16522,56698,81154,24866,2016,06,CA,31
713625,41.1,528860,469320,90157,20528,2212,99902,1392,38089,344869,368756,63525,208265,70218,43903,26315,216643,86489,55154,31335,21229,51653,116168,186251,139655,606035,82243,76921,36998,52329,41554,50578,49344,25818,190250,40812,50666,2016,06,CA,33
736044,39.6,500344,305161,358730,31532,8509,23541,1281,26151,369518,366526,98661,202114,75789,28906,46883,201376,79368,33748,45620,103678,132841,158150,62596,39757,588368,102327,100236,66439,94341,62355,55525,38031,14263,54851,85582,22531,2016,06,CA,36
717228,36.6,368179,121597,444333,28530,5086,110144,1939,24810,351149,366079,92051,166134,98609,55977,42632,170863,113098,68653,44445,101571,121834,144949,71159,32220,579987,118826,84647,56022,81599,59911,61039,42424,18089,57430,45344,26030,2016,06,CA,38
739304,30.6,399192,179319,433123,69152,5971,40162,2559,29486,365564,373740,102724,177445,84592,36285,48307,185202,88137,40161,47976,110645,117152,133948,46483,27506,572492,130345,96477,53994,79555,60274,55822,38009,15665,42351,65725,23672,2016,06,CA,41
719530,34.7,255533,105355,336407,164990,3690,90941,3512,37069,346935,372595,123972,153516,103917,45251,58666,175706,111558,52989,58569,107804,106458,137714,80737,35703,572633,105612,94843,57697,84687,61776,56368,39156,16257,56237,42443,24413,2016,06,CA,43
726307,31.5,432381,132172,482148,11811,3825,90433,2413,16770,364035,362272,185187,126994,139300,51308,87992,125543,141013,55120,85893,152066,105552,110464,58044,20372,565092,117423,87069,59165,96889,66015,56933,32968,12730,35900,79078,22377,2016,06,CA,46
729768,37.1,576703,447748,189492,19627,3334,48413,2668,30773,369299,360469,60043,228519,55908,29064,26844,212653,63690,34560,29130,47000,77853,151247,127595,80353,587013,93114,72982,41737,80120,57088,57636,43372,21592,119372,55585,33506,2016,06,CA,49
730710,31.5,473540,97500,512166,49044,5190,60636,2459,28865,369350,361360,139364,160766,108025,48273,59752,138052,129078,59095,69983,141222,109955,131975,44436,16738,569441,130316,106039,67137,89347,56110,51465,29932,11531,27564,103696,19994,2016,06,CA,51
771980,37.4,697709,640659,80545,6833,3382,24209,793,22037,389221,382759,31957,283360,26605,11107,15498,281856,26160,12700,13460,19498,81452,139157,160924,112977,644849,61737,112220,46658,78179,67981,78511,58371,25633,115559,72273,32270,2016,08,CO,2
764153,36.9,682870,555652,166118,10764,6069,13520,718,21211,385343,378810,38183,256136,28351,9904,18447,255345,26827,10909,15918,48862,119209,162168,111606,56355,599464,74858,98541,45333,74414,64181,72978,53420,23922,91817,65043,31488,2016,08,CO,4
761749,35.4,622926,550105,117206,43579,4786,18640,2369,38894,388121,373628,24267,274723,20178,9127,11051,257511,26450,14956,11494,32150,110974,181050,106059,67132,609727,75359,102065,52571,80530,68140,79960,52173,21753,77176,59935,29522,2016,08,CO,5
767812,36.0,673766,495751,217266,11921,8499,24481,682,24050,384160,383652,51862,252165,38009,13236,24773,257196,38553,15916,22637,61518,130199,162099,105846,56317,615136,66915,89370,46895,81527,75548,91766,58850,26230,78035,70562,31922,2016,08,CO,7
727398,39.8,642449,517155,177350,7407,15987,5115,858,18711,365564,361834,30105,262665,20357,6279,14078,261050,21719,7710,14009,51454,135938,162995,97492,50818,593173,64738,110440,54431,90611,71618,77449,50033,19277,54576,91383,25996,2016,08,CO,3
779950,36.0,578593,484390,154113,71675,4650,44987,1553,32233,384026,395924,67298,229273,50770,20745,30025,239854,55172,25425,29747,41328,102678,155448,137340,74825,609121,75513,82623,40967,75717,66162,78162,58052,27548,104377,41472,35200,2016,08,CO,6
786253,34.8,618745,452415,219694,67170,6787,26571,468,26599,393201,393052,74090,255432,54179,18087,36092,261707,51511,20066,31445,68881,99583,133979,155686,96353,645164,70313,91589,48983,81876,75319,86132,61920,26013,103019,80508,32901,2016,08,CO,1
715345,39.6,528774,470873,103787,97746,1750,30447,167,19238,343687,371658,45273,229412,40772,19269,21503,258600,42987,22906,20081,47145,149198,121754,94487,81608,599259,71531,92501,46246,76283,60340,72108,59966,27705,92579,43840,32266,2016,09,CT,3
733754,39.5,536539,456438,138316,91900,1774,37934,220,20161,357253,376501,87378,193882,72684,30293,42391,214218,75326,37700,37626,48921,102837,100336,132416,107251,588033,79632,86589,38127,67757,51357,57141,43883,22201,141346,33814,37187,2016,09,CT,4
714565,41.6,583195,506879,125179,46575,982,25937,254,18143,349275,365290,49587,224663,44381,21122,23259,242513,46402,24814,21588,54251,141510,125172,99370,75383,587896,71628,83040,45746,75506,60986,70340,56194,23953,100503,51349,33450,2016,09,CT,5
715145,40.6,504828,446102,114366,108646,2197,35192,290,24703,344346,370799,50356,217843,48476,25284,23192,241890,53295,31165,22130,53653,135532,127640,103695,77357,589979,66186,85880,43778,72683,60679,74373,58905,27836,99659,40249,34763,2016,09,CT,1
709761,41.5,614744,584158,56080,27829,2696,23272,100,24743,355709,354052,22035,260208,22428,11787,10641,260317,24621,14997,9624,38962,144143,136756,94402,72350,595491,58611,97262,45803,74562,59630,71034,60096,28530,99963,41941,32932,2016,09,CT,2
934695,39.6,647002,593565,82662,203027,3494,34428,461,25831,452416,482279,43979,310093,38629,17308,21321,342683,39098,19569,19529,71746,199461,174387,115770,79551,765110,93335,119469,62142,101821,88590,100577,71757,30198,97221,60217,30648,2016,10,DE,1
728594,47.3,609697,543446,84129,75580,2545,12391,411,14306,352308,376286,22364,260460,24361,14047,10314,280411,30907,20113,10794,57275,178651,179297,78502,42880,620386,90875,98593,68329,110001,76668,74302,42695,15663,43260,83818,23549,2016,12,FL,6
713474,37.1,542166,492389,63463,115090,1832,24007,759,21364,352751,360723,23787,253193,23306,11761,11545,261888,26127,15551,10576,55818,142852,146553,73207,50406,591193,107563,108659,53291,89270,62317,66465,41333,14828,47467,85643,23691,2016,12,FL,3
718313,33.4,329664,292239,53651,339446,1954,17926,914,19895,348730,369583,25862,241940,21919,10087,11832,265335,23290,11794,11496,71273,144894,146553,60786,28557,577835,105153,115361,57463,87502,72169,67774,34927,12441,25045,59803,21824,2016,12,FL,5
709130,41.4,580014,544784,43237,91856,3276,11896,537,16533,361348,347782,17574,272582,16390,7342,9048,260299,16839,9678,7161,70419,161697,150864,69033,45125,590906,103001,104821,58798,88785,69611,66969,38388,16162,44371,86051,23843,2016,12,FL,2
737984,36.3,582275,443573,171815,78877,1122,32222,408,21598,360570,377414,41200,244455,40509,22566,17943,255896,48861,29528,19333,38596,114182,160918,120785,62504,616622,101954,96087,54778,87447,68586,73699,46272,18541,69258,72568,27244,2016,12,FL,7
780261,37.2,588106,342455,303364,103549,2148,23637,446,24769,383176,397085,65823,228572,58429,28746,29683,239092,64687,34322,30365,77806,165314,161551,78086,36943,624470,111657,105919,66695,103292,75051,73663,37104,13388,37701,95624,22483,2016,12,FL,9
727833,55.0,640407,583080,70529,52727,2090,8276,385,15972,353453,374380,17500,273541,21388,12668,8720,293122,25552,17661,7891,70566,204958,182732,72645,40998,633888,76672,107061,74736,122343,79376,75614,43198,15082,39806,86449,22425,2016,12,FL,11
729430,46.3,650195,579589,84838,33599,2459,17818,374,17363,351550,377880,28237,247877,30963,18408,12555,272082,37175,23778,13397,54164,166967,173788,94554,48739,614146,83170,91529,64168,100556,71019,77100,48512,18352,59740,75138,26003,2016,12,FL,12
